Acceleration,Position,Velocity
1,-0.576414476,0.003848008
0,-0.572172005,0.00424247
0,-0.567566524,0.004605482
0,-0.562632239,0.004934285
0,-0.557405872,0.005226367
0,-0.550926386,0.006479486
0,-0.544242173,0.006684213
0,-0.537403233,0.00683894
0,-0.53046079,0.006942444
0,-0.523466885,0.006993905
0,-0.516473969,0.006992916
0,-0.509534485,0.006939484
0,-0.502700452,0.006834033
0,-0.496023054,0.006677398
0,-0.489552237,0.006470816
0,-0.483336326,0.006215911
0,-0.47742165,0.005914676
0,-0.471852196,0.005569454
0,-0.466669284,0.005182912
0,-0.46191127,0.004758014
0,-0.457613276,0.004297994
0,-0.453806948,0.003806328
0,-0.450520243,0.003286706
0,-0.447777246,0.002742997
0,-0.44559802,0.002179226
0,-0.443998475,0.001599545
0,-0.442990274,0.001008201
0,-0.442580762,0.000409512
-1,-0.44277292,-0.000192158
-1,-0.44356535,-0.000792429
-1,-0.444952279,-0.001386929
-1,-0.446923599,-0.001971321
-1,-0.449464926,-0.002541327
-1,-0.453557684,-0.004092758
-1,-0.459171893,-0.005614209
1,-0.466266301,-0.007094408
1,-0.474788586,-0.008522285
1,-0.48467564,-0.009887054
1,-0.495853955,-0.011178315
1,-0.508240116,-0.012386161
1,-0.519741426,-0.01150131
1,-0.530271665,-0.010530239
1,-0.539751862,-0.009480196
1,-0.548110957,-0.008359095
1,-0.555286377,-0.00717542
1,-0.561224497,-0.00593812
1,-0.565881023,-0.004656526
1,-0.569221283,-0.003340259
1,-0.57122044,-0.001999158
1,-0.571863649,-0.000643209
0,-0.571146135,0.000717514
0,-0.569073224,0.002072911
0,-0.565660312,0.003412913
0,-0.560932774,0.004727538
0,-0.554925817,0.006006958
0,-0.548684252,0.006241565
0,-0.542254724,0.006429528
0,-0.535685349,0.006569375
0,-0.529025345,0.006660004
0,-0.522324643,0.006700702
0,-0.515633498,0.006691146
0,-0.509002086,0.006631412
0,-0.502480114,0.006521972
0,-0.496116427,0.006363688
0,-0.489958623,0.006157803
0,-0.484052693,0.00590593
0,-0.478442663,0.00561003
0,-0.473170269,0.005272394
0,-0.468274648,0.004895621
0,-0.463792055,0.004482593
0,-0.45975561,0.004036445
0,-0.456195067,0.003560543
0,-0.453136613,0.003058454
0,-0.450602699,0.002533914
0,-0.448611889,0.001990809
0,-0.44717875,0.001433139
0,-0.446313754,0.000864996
0,-0.446023216,0.000290538
-1,-0.446309257,-0.000286041
-1,-0.447169789,-0.000860532
-1,-0.448598529,-0.00142874
-1,-0.450585036,-0.001986508
-1,-0.453114779,-0.002529742
-1,-0.45716922,-0.004054442
1,-0.462718592,-0.005549372
1,-0.469722031,-0.007003439
1,-0.478127789,-0.008405758
1,-0.487873522,-0.009745733
1,-0.498886683,-0.01101316
1,-0.509085014,-0.010198331
1,-0.518392163,-0.00930715
1,-0.526738361,-0.008346198
1,-0.534061013,-0.007322651
1,-0.54030521,-0.006244197
1,-0.545424162,-0.005118952
1,-0.54937954,-0.003955378
1,-0.552141755,-0.002762215
1,-0.553690159,-0.001548404
1,-0.554013185,-0.000323025
0,-0.553108418,0.000904766
0,-0.550982619,0.0021258
0,-0.547651671,0.003330948
0,-0.543140483,0.004511188
0,-0.537482817,0.005657667
0,-0.53172105,0.005761767
0,-0.525898372,0.005822678
0,-0.520058447,0.005839925
0,-0.514245075,0.005813373
0,-0.508501845,0.005743229
0,-0.502871804,0.005630041
0,-0.497397116,0.005474689
0,-0.492118737,0.005278379
0,-0.487076108,0.005042629
0,-0.482306851,0.004769257
0,-0.477846492,0.004460359
0,-0.473728199,0.004118293
0,-0.469982541,0.003745658
0,-0.466637274,0.003345268
0,-0.463717141,0.002920133
0,-0.461243709,0.002473432
0,-0.459235217,0.002008492
0,-0.457706458,0.001528759
0,-0.456668679,0.001037779
0,-0.456129509,0.00053917
0,-0.456092911,3.65981E-05
-1,-0.456559153,-0.000466242
-1,-0.45752481,-0.000965657
-1,-0.458982782,-0.001457972
1,-0.460922345,-0.001939563
1,-0.463329217,-0.002406871
1,-0.467185651,-0.003856434
1,-0.472463166,-0.005277516
1,-0.479122697,-0.00665953
1,-0.485114809,-0.005992112
1,-0.490394909,-0.005280101
1,-0.494923628,-0.004528718
1,-0.498667144,-0.003743517
1,-0.501597474,-0.00293033
1,-0.503692694,-0.00209522
1,-0.50493712,-0.001244427
1,-0.505321436,-0.000384316
0,-0.504842763,0.000478673
0,-0.503504686,0.001338077
0,-0.501317224,0.002187463
0,-0.498296749,0.003020475
0,-0.494465856,0.003830892
0,-0.490853183,0.003612673
0,-0.487485707,0.003367476
0,-0.484388549,0.003097158
0,-0.48158479,0.002803759
0,-0.479095302,0.002489488
0,-0.4769386,0.002156702
0,-0.475130707,0.001807893
0,-0.473685046,0.001445662
0,-0.472612339,0.001072706
0,-0.471920542,0.000691797
0,-0.471614781,0.000305761
1,-0.471697321,-8.25402E-05
1,-0.472167551,-0.00047023
